category_id;question;type;difficulty;lesson;topic;explanation;answer_1;correct_1;answer_2;correct_2;answer_3;correct_3;answer_4;correct_4;answer_5;correct_5;answer_6;correct_6;active
102;"En ASCII sur 8 bits, quel texte correspond à : 01001000 01101001 ?";qcm;3;Représentation de l'information;Binaire vers texte;"01001000 = 72 = H et 01101001 = 105 = i.";Hi;1;HI;0;ih;0;81;0;;;;;1
102;"Quel codage binaire ASCII sur 8 bits représente le texte OK ?";qcm;3;Représentation de l'information;Texte vers binaire;"O = 79 = 01001111 et K = 75 = 01001011.";"01001111 01001011";1;"01001011 01001111";0;"01001110 01001011";0;"01001111 01001010";0;;;;;1
102;"En ASCII sur 8 bits, quel caractère correspond à 01000001 ?";qcm;3;Représentation de l'information;Binaire vers texte;"01000001 vaut 65 en décimal, code ASCII de A.";A;1;a;0;B;0;1;0;;;;;1
102;"Quel octet ASCII représente le caractère a ?";qcm;3;Représentation de l'information;Texte vers binaire;"Le code ASCII décimal de a est 97, soit 01100001 en binaire.";01100001;1;01000001;0;01100010;0;00110001;0;;;;;1
102;"Convertis le texte CAT en ASCII binaire 8 bits.";qcm;5;Représentation de l'information;Texte vers binaire;"C=67=01000011, A=65=01000001, T=84=01010100.";"01000011 01000001 01010100";1;"01000001 01000011 01010100";0;"01000011 01000001 01010101";0;"01000011 01000010 01010100";0;;;;;1
102;"Quel texte ASCII correspond à 01010000 01011001 01010100 01001000 01001111 01001110 ?";qcm;5;Représentation de l'information;Binaire vers texte;"Les octets correspondent successivement aux lettres P Y T H O N.";PYTHON;1;PITHON;0;PYTH0N;0;THONPY;0;;;;;1
102;"Quel texte ASCII correspond à 01000010 01001001 01010100 ?";qcm;4;Représentation de l'information;Binaire vers texte;"01000010=B, 01001001=I et 01010100=T.";BIT;1;BAT;0;BIN;0;TIB;0;;;;;1
102;"Quel codage ASCII 8 bits représente le mot WEB ?";qcm;4;Représentation de l'information;Texte vers binaire;"W=87=01010111, E=69=01000101, B=66=01000010.";"01010111 01000101 01000010";1;"01010111 01000100 01000010";0;"01000010 01000101 01010111";0;"01010110 01000101 01000010";0;;;;;1
102;"On reçoit les octets ASCII 01000001 00110001. Quel texte représentent-ils ?";qcm;4;Représentation de l'information;Binaire vers texte;"01000001 est A et 00110001 est le chiffre 1.";A1;1;AA;0;11;0;1A;0;;;;;1
102;"Quel codage ASCII 8 bits représente le texte A1 ?";qcm;4;Représentation de l'information;Texte vers binaire;"A=65=01000001 et le caractère 1=49=00110001.";"01000001 00110001";1;"01000001 00000001";0;"00110001 01000001";0;"01000001 00110000";0;;;;;1
102;"Le texte ASCII CODE est codé sur combien de bits si chaque caractère occupe 8 bits ?";qcm;3;Représentation de l'information;Taille d'un texte;"CODE contient 4 caractères et chaque caractère occupe ici 8 bits : 4 × 8 = 32 bits.";32 bits;1;8 bits;0;16 bits;0;64 bits;0;;;;;1
102;"Un texte ASCII contient 12 caractères, chacun codé sur 8 bits. Quelle est sa taille ?";qcm;3;Représentation de l'information;Taille d'un texte;"12 × 8 = 96 bits, soit 12 octets.";"96 bits, soit 12 octets";1;"12 bits, soit 96 octets";0;"48 bits, soit 6 octets";0;"192 bits, soit 24 octets";0;;;;;1
102;"Quel caractère ASCII correspond au nombre décimal 66 après conversion en binaire 01000010 ?";qcm;3;Représentation de l'information;Décimal binaire texte;"66 en décimal vaut 01000010 en binaire et correspond au caractère ASCII B.";B;1;A;0;b;0;2;0;;;;;1
102;"Pour décoder 01000011 01000001 01010100 en texte ASCII, quelle démarche est correcte ?";qcm;4;Représentation de l'information;Méthode de conversion;"On sépare en octets, on convertit chaque octet en valeur décimale puis on utilise la table ASCII.";"Séparer en octets puis convertir chaque octet et chercher son caractère ASCII";1;"Additionner tous les bits puis chercher un seul caractère";0;"Lire chaque bit 0 ou 1 comme une lettre";0;"Convertir uniquement le premier octet";0;;;;;1
102;"Lequel de ces couples caractère / ASCII binaire est incorrect ?";qcm;5;Représentation de l'information;Vérification de codage;"C vaut 67, donc son codage ASCII 8 bits est 01000011 et non 01000100.";"A → 01000001";0;"B → 01000010";0;"C → 01000100";1;"D → 01000100";0;;;;;1
102;"Un élève code HI par 01001000 01101000. Quelle partie est incorrecte ?";qcm;5;Représentation de l'information;Détection d'erreur;"H=01001000 est correct. I majuscule vaut 01001001, tandis que 01101000 correspond à h minuscule.";"Le deuxième octet : I doit être 01001001";1;"Le premier octet : H doit être 01001001";0;"Les deux octets sont corrects";0;"Il faut inverser simplement l'ordre des deux octets";0;;;;;1
