category_id;question;type;difficulty;lesson;topic;explanation;answer_1;correct_1;answer_2;correct_2;answer_3;correct_3;answer_4;correct_4;answer_5;correct_5;answer_6;correct_6;active
302;"En ASCII sur 8 bits, quel texte correspond à : 01001000 01101001 ?";qcm;3;Données et types;Binaire vers texte;"01001000 = 72 = H et 01101001 = 105 = i.";Hi;1;HI;0;ih;0;81;0;;;;;1
302;"Quel codage binaire ASCII sur 8 bits représente le texte OK ?";qcm;3;Données et types;Texte vers binaire;"O = 79 = 01001111 et K = 75 = 01001011.";"01001111 01001011";1;"01001011 01001111";0;"01001110 01001011";0;"01001111 01001010";0;;;;;1
302;"En ASCII sur 8 bits, quel caractère correspond à 01000001 ?";qcm;3;Données et types;Binaire vers texte;"01000001 vaut 65 en décimal, code ASCII de A.";A;1;a;0;B;0;1;0;;;;;1
302;"Quel octet ASCII représente le caractère a ?";qcm;3;Données et types;Texte vers binaire;"Le code ASCII décimal de a est 97, soit 01100001 en binaire.";01100001;1;01000001;0;01100010;0;00110001;0;;;;;1
304;"Quelle est la valeur finale de x ?
1. x = 5
2. y = 2
3. x = x + y * 3
4. x = x - 1";qcm;3;Opérateurs et expressions;Priorités;"La multiplication est prioritaire : 2×3=6, puis x=11, puis x=10.";10;1;14;0;20;0;8;0;;;;;1
304;"Quelle expression Python teste correctement si x est compris entre 10 et 20 inclus ?";qcm;3;Opérateurs et expressions;Conditions;"Python permet l'écriture chaînée 10 <= x <= 20.";"10 <= x <= 20";1;"10 < x > 20";0;"x = 10 and 20";0;"10 <= x or x <= 20";0;;;;;1
306;"Quelle ligne provoque une erreur dans ce programme Python ?
1. a = 4
2. b = 3
3. c = a + b
4. print(c
5. print('fin')";qcm;3;Séquence et blocs;Débogage;"La parenthèse fermante manque à la ligne 4.";Ligne 1;0;Ligne 2;0;Ligne 4;1;Ligne 5;0;;;;;1
306;"Quelle ligne contient l'erreur ?
1. nom = input('Nom : ')
2. age = int(input('Age : '))
3. annee = 2026 - age
4. print('Année de naissance : ' + annee)";qcm;4;Séquence et blocs;Types;"On ne peut pas concaténer directement une chaîne et un entier. Il faut convertir annee en str ou utiliser plusieurs arguments de print.";Ligne 1;0;Ligne 2;0;Ligne 3;0;Ligne 4;1;;;;;1
307;"Quel affichage produit ce programme ?
1. note = 12
2. if note >= 10:
3.     print('Admis')
4. else:
5.     print('Ajourné')";qcm;3;Structures conditionnelles;Trace;"12 est supérieur ou égal à 10, donc la branche if est exécutée.";Admis;1;Ajourné;0;12;0;Aucun affichage;0;;;;;1
307;"Quelle ligne contient une erreur de syntaxe Python ?
1. x = 7
2. if x > 5
3.     print('grand')
4. else:
5.     print('petit')";qcm;3;Structures conditionnelles;Débogage;"Il manque le deux-points à la fin de la condition de la ligne 2.";Ligne 1;0;Ligne 2;1;Ligne 3;0;Ligne 4;0;;;;;1
307;"Quelle ligne logique est incorrecte si l'on veut afficher 'Valide' seulement lorsque age est entre 18 et 60 inclus ?
1. age = 17
2. if age >= 18 or age <= 60:
3.     print('Valide')
4. else:
5.     print('Non valide')";qcm;4;Structures conditionnelles;Logique booléenne;"Il faut utiliser and, pas or, pour imposer les deux bornes simultanément.";Ligne 1;0;Ligne 2;1;Ligne 3;0;Ligne 5;0;;;;;1
307;"Que faut-il remplacer à la ligne 2 ?
1. x = 15
2. if x > 10 and x < 20:
3.     print('dans intervalle')";qcm;3;Structures conditionnelles;Équivalence;"La condition peut être écrite plus simplement sous forme chaînée.";"if 10 < x < 20:";1;"if x < 10 < 20:";0;"if 10 > x > 20:";0;"if x == 10 and 20:";0;;;;;1
